"We can't find products matching the selection.","We can't find products matching the selection."
"Learn More","Learn More"
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Related Products","Related Products"
"We found other products you might like!","We found other products you might like!"
"More Choices:","More Choices:"
"New Products","New Products"
"Check items to add to the cart or","Check items to add to the cart or"
"select all","select all"
Filter,Filter
"Special Price","Special Price"
"Regular Price","Regular Price"
Loading...,Loading...
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
Item,Item
Price,Price
"See price before order confirmation.","See price before order confirmation."
"What's this?","What's this?"
Qty,Qty
Subtotal,Subtotal
"My Cart","My Cart"
"Address Book","Address Book"
"Manage Addresses","Manage Addresses"
"Default Billing Address","Default Billing Address"
"Edit Address","Edit Address"
"Default Shipping Address","Default Shipping Address"
"Account Information","Account Information"
"Contact Information","Contact Information"
Edit,Edit
"Change Password","Change Password"
Newsletters,Newsletters
"You subscribe to ""General Subscription"".","You subscribe to ""General Subscription""."
"You don't subscribe to our newsletter.","You don't subscribe to our newsletter."
"Default Addresses","Default Addresses"
"Change Billing Address","Change Billing Address"
"You have no default billing address in your address book.","You have no default billing address in your address book."
"Change Shipping Address","Change Shipping Address"
"You have no default shipping address in your address book.","You have no default shipping address in your address book."
"Additional Address Entries","Additional Address Entries"
"Delete Address","Delete Address"
"You have no other address entries in your address book.","You have no other address entries in your address book."
"Add New Address","Add New Address"
Back,Back
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Address Information","Address Information"
Company,Company
"Phone Number","Phone Number"
"Street Address","Street Address"
Address,Address
"Street Address %1","Street Address %1"
City,City
State/Province,State/Province
"Please select a region, state or province.","Please select a region, state or province."
"Zip/Postal Code","Zip/Postal Code"
Country,Country
"* Required Fields","* Required Fields"
"Sign-in Information","Sign-in Information"
Email,Email
Password,Password
"Password Strength","Password Strength"
"No Password","No Password"
"Confirm Password","Confirm Password"
"Create an Account","Create an Account"
Currency,Currency
"Get the Latest News Delivered Daily.","Get the Latest News Delivered Daily."
"Give us your email and you will be daily updated with the latest events, in detail.","Give us your email and you will be daily updated with the latest events, in detail."
"Enter your email address","Enter your email address"
Subscribe,Subscribe
"Write Your Own Review","Write Your Own Review"
"You're reviewing:","You're reviewing:"
"Your Rating","Your Rating"
"%1 %2","%1 %2"
Nickname,Nickname
Summary,Summary
Review,Review
"Submit Review","Submit Review"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
Rating,Rating
Reviews,Reviews
"Add Your Review","Add Your Review"
"Be the first to review this product","Be the first to review this product"
"Customer Reviews","Customer Reviews"
"Review by","Review by"
"Posted on","Posted on"
"Order Information","Order Information"
"Order ID","Order ID"
"Billing Last Name","Billing Last Name"
"Find Order By","Find Order By"
"ZIP Code","ZIP Code"
"Billing ZIP Code","Billing ZIP Code"
Continue,Continue
"Shipping Address","Shipping Address"
"Shipping Method","Shipping Method"
"No shipping information available","No shipping information available"
"Billing Address","Billing Address"
"Payment Method","Payment Method"
Language,Language
"There are no posts matching the selection.","There are no posts matching the selection."
more,more
"by ","by "
Show,Show
"per page","per page"
"Sort By","Sort By"
"Set Ascending Direction","Set Ascending Direction"
"Set Descending Direction","Set Descending Direction"
"Post comments","Post comments"
"posted on ","posted on "
"Leave A Reply","Leave A Reply"
"Your email address will not be published.","Your email address will not be published."
Name,Name
Comment,Comment
Submit,Submit
"Related Posts","Related Posts"
"Latest Posts","Latest Posts"
"Read More","Read More"
"View more","View more"
"Shop now","Shop now"
"Products not found.","Products not found."
Categories,Categories
"Login Using Social Accounts","Login Using Social Accounts"
"You can login using one of the social accounts provided below.","You can login using one of the social accounts provided below."
"Sign in with","Sign in with"
Close,Close
"My cart","My cart"
"Recently added item(s)","Recently added item(s)"
"You have no items in your shopping cart.","You have no items in your shopping cart."
Checkout,Checkout
Remove,Remove
Update,Update
"See Details","See Details"
"Options Details","Options Details"
items,items
"Can not finish request.Try again.","Can not finish request.Try again."
"My Account","My Account"
my-account,my-account
create-an-account,create-an-account
